5350422.02,4430,365,450,395,370
5350422.03,5405,455,740,300,470
5350422.04,3445,290,530,180,270
5350422.05,5890,370,985,400,505
5350422.06,4565,350,395,310,435
5350423.01,3245,175,395,170,245
5350423.02,6280,315,625,515,535
5350424.04,2095,170,255,150,115
5350424.05,6880,635,1145,445,505
5350424.07,5295,405,640,360,440
5350424.08,5955,435,820,500,395
5350424.09,2380,190,240,165,220
5350424.1,4440,315,590,235,255
5350424.11,5905,350,780,350,470
5350424.12,19555,1275,2195,1390,1305
5350424.13,1215,75,160,55,60
5350430.02,7580,305,600,510,440
5350430.03,3855,135,395,300,270
5350430.04,7765,360,670,440,475
5350431.01,5235,190,455,180,310
5350431.02,5495,325,770,310,410
5350440,5400,290,605,300,380
5350441.02,3675,180,375,205,245
5350441.03,6155,330,710,580,415
5350441.04,4580,385,485,385,280
5350442.02,3475,90,340,285,245
5350442.03,4700,290,435,420,380
5350442.04,3150,140,375,160,255
5350442.05,5225,260,545,370,280
5350442.06,5655,295,615,310,365
5350450.02,2410,90,110,95,175
5350450.03,6615,310,665,415,415
5350450.05,4485,265,435,300,260
5350450.06,3855,275,425,245,315
5350451.01,1875,90,85,140,175
5350451.02,4140,125,350,245,345
5350451.03,5870,330,630,325,400
5350451.05,3910,145,445,315,335
5350451.06,4845,300,550,260,270
5350451.07,3575,210,365,225,230
5350452.01,2745,165,195,210,215
5350452.02,4090,145,420,225,430
5350452.03,4790,175,565,280,415
5350452.05,3050,130,255,195,165
5350452.06,2795,140,285,165,170
5350452.07,4965,205,510,400,430
5350455,5865,295,500,370,395
5350456.01,3590,195,380,215,215
5350456.02,5085,195,470,345,460
5350456.03,3680,270,310,180,290
5350460.01,4135,260,395,205,280
